fastq.file	Sample_ID	species	species.or	sp.nr	read	ID
ZAH5_R1_paired.fastq.gz	ZAH5	simmonsi	simmonsi	009	1	msim009_r99_00000
ZAH5_R2_paired.fastq.gz	ZAH5	simmonsi	simmonsi	009	2	msim009_r99_00000
B23_R1_paired.fastq.gz	B23	spp	sp. - mananara nord	016	1	mspp016_r99_00000
B23_R2_paired.fastq.gz	B23	spp	sp. - mananara nord	016	2	mspp016_r99_00000
B24_R1_paired.fastq.gz	B24	spp	sp. - mananara nord	017	1	mspp017_r99_00000
B24_R2_paired.fastq.gz	B24	spp	sp. - mananara nord	017	2	mspp017_r99_00000
B34_R1_paired.fastq.gz	B34	spp	sp. - mananara nord	018	1	mspp018_r99_00000
B34_R2_paired.fastq.gz	B34	spp	sp. - mananara nord	018	2	mspp018_r99_00000
BC2_R1_paired.fastq.gz	BC2	spp	sp. - mananara nord	019	1	mspp019_r99_00000
BC2_R2_paired.fastq.gz	BC2	spp	sp. - mananara nord	019	2	mspp019_r99_00000
01-13_hely_R1_paired.fastq.gz	01-13_hely	spp	sp. nov.#3	020	0	mspp020_r99_00000
04-13_hely_R1_paired.fastq.gz	04-13_hely	spp	sp. nov.#3	021	0	mspp021_r99_00000
05-08_hely_R1_paired.fastq.gz	05-08_hely	spp	sp. nov.#3	022	0	mspp022_r99_00000
07-08_hely_R1_paired.fastq.gz	07-08_hely	spp	sp. nov.#3	023	0	mspp023_r99_00000
A12_R1_paired.fastq.gz	A12	spp	sp. nov.#3	024	1	mspp024_r99_00000
A12_R2_paired.fastq.gz	A12	spp	sp. nov.#3	024	2	mspp024_r99_00000
A13_R1_paired.fastq.gz	A13	spp	sp. nov.#3	025	1	mspp025_r99_00000
A13_R2_paired.fastq.gz	A13	spp	sp. nov.#3	025	2	mspp025_r99_00000
A23_R1_paired.fastq.gz	A23	spp	sp. nov.#3	026	1	mspp026_r99_00000
A23_R2_paired.fastq.gz	A23	spp	sp. nov.#3	026	2	mspp026_r99_00000
A24_R1_paired.fastq.gz	A24	spp	sp. nov.#3	027	1	mspp027_r99_00000
A24_R2_paired.fastq.gz	A24	spp	sp. nov.#3	027	2	mspp027_r99_00000
A34_R1_paired.fastq.gz	A34	spp	sp. nov.#3	028	1	mspp028_r99_00000
A34_R2_paired.fastq.gz	A34	spp	sp. nov.#3	028	2	mspp028_r99_00000
AB1_R1_paired.fastq.gz	AB1	spp	sp. nov.#3	029	1	mspp029_r99_00000
AB1_R2_paired.fastq.gz	AB1	spp	sp. nov.#3	029	2	mspp029_r99_00000
B13_R1_paired.fastq.gz	B13	spp	sp. nov.#3	030	1	mspp030_r99_00000
B13_R2_paired.fastq.gz	B13	spp	sp. nov.#3	030	2	mspp030_r99_00000
BC1_R1_paired.fastq.gz	BC1	spp	sp. nov.#3	031	1	mspp031_r99_00000
BC1_R2_paired.fastq.gz	BC1	spp	sp. nov.#3	031	2	mspp031_r99_00000
BD1_R1_paired.fastq.gz	BD1	spp	sp. nov.#3	032	1	mspp032_r99_00000
BD1_R2_paired.fastq.gz	BD1	spp	sp. nov.#3	032	2	mspp032_r99_00000
